date,state,daily
2020-09-02,Malaysia,709
2020-09-03,Malaysia,651
2020-09-04,Malaysia,599
2020-09-05,Malaysia,304
2020-09-06,Malaysia,404
2020-09-07,Malaysia,895
2020-09-08,Malaysia,696
2020-09-09,Malaysia,693
2020-09-10,Malaysia,610
2020-09-11,Malaysia,528
2020-09-12,Malaysia,354
2020-09-13,Malaysia,373
2020-09-14,Malaysia,826
2020-09-15,Malaysia,725
2020-09-16,Malaysia,237
2020-09-17,Malaysia,545
2020-09-18,Malaysia,390
2020-09-19,Malaysia,243
2020-09-20,Malaysia,510
2020-09-21,Malaysia,753
2020-09-22,Malaysia,686
2020-09-23,Malaysia,710
2020-09-24,Malaysia,490
2020-09-25,Malaysia,511
2020-09-26,Malaysia,408
2020-09-27,Malaysia,387
2020-09-28,Malaysia,727
2020-09-29,Malaysia,704
2020-09-30,Malaysia,721
2020-10-01,Malaysia,583
2020-10-02,Malaysia,464
2020-10-03,Malaysia,352
2020-10-04,Malaysia,540
2020-10-05,Malaysia,840
2020-10-06,Malaysia,603
2020-10-07,Malaysia,629
2020-10-08,Malaysia,518
2020-10-09,Malaysia,437
2020-10-10,Malaysia,221
2020-10-11,Malaysia,280
2020-10-12,Malaysia,628
2020-10-13,Malaysia,572
2020-10-14,Malaysia,613
2020-10-15,Malaysia,517
2020-10-16,Malaysia,499
2020-10-17,Malaysia,293
2020-10-18,Malaysia,291
2020-10-19,Malaysia,695
2020-10-20,Malaysia,522
2020-10-21,Malaysia,623
2020-10-22,Malaysia,546
2020-10-23,Malaysia,486
2020-10-24,Malaysia,346
2020-10-25,Malaysia,339
2020-10-26,Malaysia,665
2020-10-27,Malaysia,587
2020-10-28,Malaysia,627
2020-10-29,Malaysia,142
2020-10-30,Malaysia,419
2020-10-31,Malaysia,324
2020-11-01,Malaysia,339
2020-11-02,Malaysia,552
2020-11-03,Malaysia,563
2020-11-04,Malaysia,561
2020-11-05,Malaysia,546
2020-11-06,Malaysia,318
2020-11-07,Malaysia,330
2020-11-08,Malaysia,334
2020-11-09,Malaysia,493
2020-11-10,Malaysia,547
2020-11-11,Malaysia,426
2020-11-12,Malaysia,404
2020-11-13,Malaysia,435
2020-11-14,Malaysia,62
2020-11-15,Malaysia,128
2020-11-16,Malaysia,566
2020-11-17,Malaysia,647
2020-11-18,Malaysia,617
2020-11-19,Malaysia,488
2020-11-20,Malaysia,532
2020-11-21,Malaysia,164
2020-11-22,Malaysia,251
2020-11-23,Malaysia,500
2020-11-24,Malaysia,534
2020-11-25,Malaysia,537
2020-11-26,Malaysia,463
2020-11-27,Malaysia,416
2020-11-28,Malaysia,257
2020-11-29,Malaysia,230
2020-11-30,Malaysia,481
2020-12-01,Malaysia,573
2020-12-02,Malaysia,474
2020-12-03,Malaysia,465
2020-12-04,Malaysia,408
2020-12-05,Malaysia,195
2020-12-06,Malaysia,297
2020-12-07,Malaysia,514
2020-12-08,Malaysia,576
2020-12-09,Malaysia,533
2020-12-10,Malaysia,449
2020-12-11,Malaysia,325
2020-12-12,Malaysia,208
2020-12-13,Malaysia,369
2020-12-14,Malaysia,522
